DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,MinDepth,MinAccuracy,MinSource,MaxDepth,MaxAccuracy,MaxSource
EB2005_5952_04L0041,53607,,Splash,08:00:00 24-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 25-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,08:00:00 25-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 25-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 26-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 26-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 27-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 27-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 28-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 28-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 29-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 30-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 01-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 02-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,08:00:00 02-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 02-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,08:00:00 03-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 04-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 04-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 05-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,08:00:00 05-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 05-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 05-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 06-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,08:00:00 06-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 06-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 06-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 07-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,08:00:00 07-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 07-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,08:00:00 08-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 08-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 09-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,08:00:00 09-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 09-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 10-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,08:00:00 10-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 10-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 11-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 12-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 12-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 13-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 13-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 14-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 14-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 14-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 15-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,08:00:00 15-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 15-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 16-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,08:00:00 16-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 16-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 17-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,08:00:00 17-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 17-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 18-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 18-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 18-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 19-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 19-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 19-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 20-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 20-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 20-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 21-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 22-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 22-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 24-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 24-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 25-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,08:00:00 25-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 25-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 26-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 26-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 27-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 27-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,08:00:00 28-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 29-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,08:00:00 29-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 30-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,08:00:00 30-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 30-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 31-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,08:00:00 31-Dec-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 01-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 01-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 01-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 02-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 03-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 03-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 03-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 04-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,08:00:00 04-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 05-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 05-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 05-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 06-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,08:00:00 06-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 07-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 07-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 07-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 08-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 08-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 09-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,08:00:00 09-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 09-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 10-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 10-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 11-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 11-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 11-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 12-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 12-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 12-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 14-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,08:00:00 14-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 14-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 14-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 15-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 15-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 16-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 16-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 17-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,08:00:00 17-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 17-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 17-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,08:00:00 18-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 18-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 19-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 19-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,08:00:00 20-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 21-Jan-2006,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,08:00:00 21-Jan-2006,,,,0.000000,0.000000,Status,,,
