DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
PV2016_3021_15A0891,164825,Mk10,DS,2,0,0,48,48,02:54:12 08-Dec-2016,NP,B,52.8378,173.2157,52.8378,173.2157,8,,401677210,-127
PV2016_3021_15A0891,164825,Mk10,DS,6,0,0,93,93,04:56:41 08-Dec-2016,NK,3,52.8309,173.2032,52.8312,173.2012,58,,401677148,-123
PV2016_3021_15A0891,164825,Mk10,DS,4,0,1,93,93,05:04:26 08-Dec-2016,NN,3,52.8302,173.1996,52.8302,173.1996,56,,401677146,-124
PV2016_3021_15A0891,164825,Mk10,DS,6,0,2,93,93,05:38:32 08-Dec-2016,SR,3,52.8297,173.2069,52.8297,173.2069,58,,401677143,-125
PV2016_3021_15A0891,164825,Mk10,DS,1,0,0,,,06:14:57 08-Dec-2016,MA,B,52.8291,173.2102,52.8291,173.2102,8,,401677144,-131
PV2016_3021_15A0891,164825,Mk10,DS,3,0,0,186,186,06:38:12 08-Dec-2016,NK,A,52.8279,173.1983,52.8279,173.1983,8,,401677143,-124
PV2016_3021_15A0891,164825,Mk10,DS,5,0,0,116,93,06:47:30 08-Dec-2016,NN,3,52.8292,173.1995,52.8299,173.2020,66,,401677143,-123
PV2016_3021_15A0891,164825,Mk10,DS,1,0,1,,,08:45:06 08-Dec-2016,MB,B,52.8391,173.2040,52.8391,173.2040,7,,401677174,-132
PV2016_3021_15A0891,164825,Mk10,DS,5,0,4,83,52,09:00:14 08-Dec-2016,SR,2,52.8353,173.2051,52.8353,173.2051,56,,401677207,-130
PV2016_3021_15A0891,164825,Mk10,DS,6,0,2,147,49,09:29:47 08-Dec-2016,MA,2,52.8389,173.2078,52.8389,173.2078,56,,401677211,-118
PV2016_3021_15A0891,164825,Mk10,DS,6,0,0,111,93,15:03:14 08-Dec-2016,NP,3,52.8288,173.2054,52.8288,173.2054,58,,401677148,-131
PV2016_3021_15A0891,164825,Mk10,DS,3,0,0,93,93,15:24:09 08-Dec-2016,SR,A,52.8220,173.1926,52.8220,173.1926,6,,401677150,-129
PV2016_3021_15A0891,164825,Mk10,DS,1,0,1,,,01:02:11 09-Dec-2016,NP,B,52.8075,173.0830,52.8075,173.0830,,,401677181,-128
PV2016_3021_15A0891,164825,Mk10,DS,1,0,1,,,01:02:11 09-Dec-2016,MA,B,52.7889,173.0911,52.7889,173.0911,8,,401677179,-128
PV2016_3021_15A0891,164825,Mk10,DS,7,0,2,108,93,02:41:08 09-Dec-2016,NP,1,52.8263,173.1765,52.8263,173.1765,58,,401677139,-124
PV2016_3021_15A0891,164825,Mk10,DS,1,0,0,,,02:50:57 09-Dec-2016,NK,B,52.8255,173.1794,52.8255,173.1794,6,,401677134,-133
PV2016_3021_15A0891,164825,Mk10,DS,1,0,0,,,04:23:22 09-Dec-2016,NP,B,52.8287,173.1858,52.8287,173.1858,8,,401677140,-133
PV2016_3021_15A0891,164825,Mk10,DS,3,0,1,93,93,04:31:07 09-Dec-2016,NK,A,52.8290,173.1986,52.8290,173.1986,6,,401677137,-132
PV2016_3021_15A0891,164825,Mk10,DS,3,0,1,139,93,04:53:20 09-Dec-2016,NN,A,52.8309,173.2003,52.8309,173.2003,6,,401677138,-132
PV2016_3021_15A0891,164825,Mk10,DS,4,0,0,93,93,06:11:52 09-Dec-2016,NK,3,52.8296,173.1965,52.8296,173.1965,58,,401677141,-124
PV2016_3021_15A0891,164825,Mk10,DS,4,0,0,93,93,06:33:34 09-Dec-2016,NN,3,52.8300,173.2015,52.8293,173.2015,58,,401677143,-123
PV2016_3021_15A0891,164825,Mk10,DS,5,0,0,93,93,06:47:31 09-Dec-2016,SR,3,52.8297,173.1992,52.8297,173.1992,66,,401677144,-119
PV2016_3021_15A0891,164825,Mk10,DS,2,0,2,93,93,08:29:34 09-Dec-2016,SR,B,52.8222,173.2139,52.8223,173.2141,7,,401677168,-132
PV2016_3021_15A0891,164825,Mk10,DS,3,0,2,93,93,09:15:34 09-Dec-2016,MA,A,52.8306,173.2212,52.8306,173.2212,6,,401677206,-119
PV2016_3021_15A0891,164825,Mk10,DS,2,0,0,443,443,14:50:28 09-Dec-2016,NP,B,52.8015,173.2870,52.8015,173.2870,8,,401677263,-127
PV2016_3021_15A0891,164825,Mk10,DS,1,0,1,,,14:57:52 09-Dec-2016,SR,B,52.7536,173.3253,52.7536,173.3253,6,,401677202,-137
PV2016_3021_15A0891,164825,Mk10,DS,1,0,0,,,16:37:12 09-Dec-2016,NK,B,52.6998,173.3788,52.6998,173.3788,6,,401677249,-135
PV2016_3021_15A0891,164825,Mk10,DS,1,0,0,,,16:37:12 09-Dec-2016,NP,B,52.6726,173.3685,52.6726,173.3685,6,,401677242,-126
PV2016_3021_15A0891,164825,Mk10,DS,1,0,0,,,17:05:05 09-Dec-2016,NN,B,52.6736,173.3614,52.6736,173.3614,6,,401677243,-137
PV2016_3021_15A0891,164825,Mk10,DS,1,0,1,,,04:09:03 10-Dec-2016,NK,B,52.5211,173.4939,52.5211,173.4939,8,,401677250,-133
PV2016_3021_15A0891,164825,Mk10,DS,1,0,1,,,04:09:03 10-Dec-2016,NP,B,52.6572,173.3698,52.6572,173.3698,8,,401677237,-134
PV2016_3021_15A0891,164825,Mk10,DS,2,0,1,311,311,05:45:51 10-Dec-2016,NK,B,52.6571,173.3807,52.6571,173.3807,8,,401677226,-124
PV2016_3021_15A0891,164825,Mk10,DS,1,0,0,,,06:19:24 10-Dec-2016,SR,B,52.6837,173.5036,52.6837,173.5036,8,,401677230,-127
PV2016_3021_15A0891,164825,Mk10,DS,1,0,0,,,06:19:24 10-Dec-2016,NN,B,52.6816,173.4968,52.6816,173.4968,,,401677221,-124
PV2016_3021_15A0891,164825,Mk10,DS,1,0,1,,,08:04:24 10-Dec-2016,NN,B,52.6788,173.4900,52.6788,173.4900,8,,401677216,-130
PV2016_3021_15A0891,164825,Mk10,DS,1,0,1,,,08:10:24 10-Dec-2016,MB,B,52.7142,173.5180,52.7142,173.5180,8,,401677214,-130
PV2016_3021_15A0891,164825,Mk10,DS,3,0,0,271,48,08:47:50 10-Dec-2016,MA,A,52.7266,173.5758,52.7266,173.5758,8,,401677219,-124
PV2016_3021_15A0891,164825,Mk10,DS,1,0,0,,,09:46:45 10-Dec-2016,MB,B,52.6959,173.6196,52.6959,173.6196,8,,401677173,-132
PV2016_3021_15A0891,164825,Mk10,DS,1,0,1,,,14:24:03 10-Dec-2016,SR,B,52.7384,173.7353,52.7384,173.7353,7,,401677230,-140
PV2016_3021_15A0891,164825,Mk10,DS,2,0,2,393,393,14:41:25 10-Dec-2016,NP,B,52.7037,173.6749,52.7037,173.6749,7,,401677249,-134
PV2016_3021_15A0891,164825,Mk10,DS,2,0,1,396,396,16:19:53 10-Dec-2016,NP,B,52.6314,173.6716,52.6314,173.6716,8,,401677228,-122
PV2016_3021_15A0891,164825,Mk10,DS,2,0,2,376,376,17:34:14 10-Dec-2016,SR,B,52.6225,173.6960,52.6225,173.6960,8,,401677227,-137
PV2016_3021_15A0891,164825,Mk10,DS,1,0,0,,,17:54:52 10-Dec-2016,NK,B,52.6643,173.6474,52.6643,173.6474,6,,401677217,-128
PV2016_3021_15A0891,164825,Mk10,DS,2,0,0,383,383,18:36:27 10-Dec-2016,NN,B,52.6832,173.6099,52.6832,173.6099,8,,401677192,-128
PV2016_3021_15A0891,164825,Mk10,DS,2,0,0,395,395,19:18:23 10-Dec-2016,SR,B,52.6490,173.6052,52.6490,173.6052,5,,401677237,-131
PV2016_3021_15A0891,164825,Mk10,DS,2,0,0,398,398,19:28:11 10-Dec-2016,NK,B,52.6845,173.5616,52.6845,173.5616,6,,401677228,-133
PV2016_3021_15A0891,164825,Mk10,DS,1,0,0,,,21:04:12 10-Dec-2016,MA,B,52.6977,173.5220,52.6977,173.5220,8,,401677214,-128
PV2016_3021_15A0891,164825,Mk10,DS,1,0,0,,,21:10:48 10-Dec-2016,NK,B,52.7011,173.5119,52.7011,173.5119,6,,401677228,-133
PV2016_3021_15A0891,164825,Mk10,DS,1,0,0,,,21:52:38 10-Dec-2016,NN,B,52.6634,173.5354,52.6634,173.5354,7,,401677237,-137
PV2016_3021_15A0891,164825,Mk10,DS,4,0,2,226,47,22:38:48 10-Dec-2016,MA,0,52.7480,173.5020,52.7480,173.5020,48,,401677225,-125
PV2016_3021_15A0891,164825,Mk10,DS,2,0,0,425,425,02:13:26 11-Dec-2016,NP,B,52.8712,173.3170,52.8712,173.3170,8,,401677201,-127
PV2016_3021_15A0891,164825,Mk10,DS,1,0,1,,,02:51:08 11-Dec-2016,NN,B,52.8879,173.2971,52.8879,173.2971,8,,401677188,-137
PV2016_3021_15A0891,164825,Mk10,DS,1,0,1,,,04:00:16 11-Dec-2016,NP,B,52.9078,173.2488,52.9078,173.2488,8,,401677169,-128
PV2016_3021_15A0891,164825,Mk10,DS,4,0,0,155,49,04:31:59 11-Dec-2016,NN,1,52.8098,173.3064,52.8098,173.3064,46,,401677208,-128
